	TCGA-91-6828-01A	TCGA-86-6562-01A	TCGA-55-8094-01A	TCGA-67-3771-01A	TCGA-49-AARN-01A
ENSG00000007306.15	29	63	61	911	407
ENSG00000007312.13	61	57	11	218	251
ENSG00000007314.12	2	6	27	176	18
ENSG00000007341.19	283	171	398	228	244
ENSG00000007350.17	5	7	11	391	1
ENSG00000007372.24	0	0	1	0	43
ENSG00000007376.8	288	563	791	505	716
ENSG00000007384.15	966	1697	1047	1056	1736
ENSG00000007392.17	874	823	1516	810	1660
ENSG00000007402.12	2567	607	297	90	520
ENSG00000007516.14	519	1324	1327	105	419
ENSG00000007520.4	417	1162	921	577	1135
ENSG00000007541.17	546	1026	972	607	1712
ENSG00000007545.16	400	562	226	394	603
ENSG00000007866.22	924	1818	944	2367	1668
ENSG00000007908.16	81	98	7	19	45
ENSG00000007923.16	645	1052	1219	1312	646
ENSG00000007933.13	237	344	20	286	190
ENSG00000007944.15	2102	1770	774	570	1159
ENSG00000007952.18	22	116	171	14	81
ENSG00000007968.7	151	210	295	448	149
ENSG00000008018.9	2508	3019	7178	4790	2534
ENSG00000008056.14	10	26	87	40	32
ENSG00000008083.14	833	908	1146	1273	551
ENSG00000008086.13	486	1290	472	326	510
ENSG00000008118.10	28	77	10	25	15
ENSG00000008128.23	11	27	61	35	80
ENSG00000008130.15	1347	2874	3468	5905	2071
ENSG00000008196.13	0	1	2	1	6
ENSG00000008197.5	991	57	152	0	828
ENSG00000008226.20	47	40	51	61	278
ENSG00000008256.16	1141	5141	483	1315	1329
ENSG00000008277.14	171	170	478	81	180
ENSG00000008282.9	2576	9619	4547	4006	3200
ENSG00000008283.16	3540	6204	10481	3635	5884
ENSG00000008294.21	4599	4681	3855	4410	3158
ENSG00000008300.17	2261	126	1675	1009	524
ENSG00000008311.15	768	1567	310	418	466
ENSG00000008323.15	83	1291	1100	513	267
ENSG00000008324.12	327	309	836	533	421
ENSG00000008382.16	166	644	352	173	469
ENSG00000008394.13	3705	19843	15123	3271	5345
ENSG00000008405.12	667	642	1484	1234	383
ENSG00000008438.5	6	0	6	2	1
ENSG00000008441.18	1248	2802	234	1758	2805
ENSG00000008513.16	3088	1373	4882	6321	3272
ENSG00000008516.17	110	51	12	83	37
ENSG00000008517.18	1482	1853	1347	1299	1658
ENSG00000008710.20	1226	1277	740	939	1104
ENSG00000008735.14	398	103	2130	1112	160
ENSG00000008838.20	2074	3478	5322	2797	2852
ENSG00000008853.17	1849	2838	2724	1081	2395
ENSG00000008869.12	1088	1661	1918	1162	889
ENSG00000008952.17	6431	11295	13063	11033	4534
ENSG00000008988.11	9205	18860	47590	21132	24587
ENSG00000009307.16	13059	53922	13626	15707	12582
ENSG00000009335.18	2776	5208	3924	2852	2680
ENSG00000009413.16	994	804	473	710	385
ENSG00000009694.13	17	11	670	17	32
ENSG00000009709.12	53	0	0	111	53
ENSG00000009724.17	13	8	106	43	39
ENSG00000009765.15	3591	89	623	211	325
ENSG00000009780.16	266	541	581	440	468
ENSG00000009790.15	303	164	59	287	246
ENSG00000009830.12	626	905	1036	1883	908
ENSG00000009844.16	1260	1441	2237	1627	695
ENSG00000009950.16	11	316	2156	137	461
ENSG00000009954.11	3314	7158	3939	2204	3038
ENSG00000010017.13	1222	2255	1845	1405	1144
ENSG00000010030.14	486	289	290	246	659
ENSG00000010072.16	395	886	754	806	336
ENSG00000010165.20	1085	2978	2123	1654	1433
ENSG00000010219.13	191	345	187	249	211
ENSG00000010244.19	3528	5209	6452	5079	3958
ENSG00000010256.11	3283	3171	6250	4024	3887
ENSG00000010270.14	731	1992	1241	1970	873
ENSG00000010278.15	3185	18809	8148	9625	6068
ENSG00000010282.15	0	1	3	1	27
ENSG00000010292.13	1460	3887	5261	1325	1620
ENSG00000010295.20	326	340	114	409	366
ENSG00000010310.9	35	98	285	570	368
ENSG00000010318.21	145	92	105	138	84
ENSG00000010319.7	435	533	286	238	213
ENSG00000010322.16	3294	1648	2173	1840	3603
ENSG00000010327.10	5114	1870	294	1515	1292
ENSG00000010361.14	114	323	113	606	440
ENSG00000010379.16	0	2	4	12	1
ENSG00000010404.18	210	370	142	489	134
ENSG00000010438.17	3	22	267	5	407
ENSG00000010539.12	219	291	521	554	299
ENSG00000010610.10	4966	3727	351	4917	1782
ENSG00000010626.15	114	442	1259	190	424
ENSG00000010671.16	563	401	66	535	342
ENSG00000010704.18	242	601	231	812	551
ENSG00000010803.16	716	1160	1081	1100	1048
ENSG00000010810.17	1002	1334	1356	906	1304
ENSG00000010818.10	1588	1682	655	1024	865
ENSG00000010932.17	99	219	19	59	38
ENSG00000011007.12	1851	2339	2991	2443	1123
ENSG00000011009.11	1101	3791	5729	2176	3541
ENSG00000011021.23	642	555	878	1092	650
ENSG00000011028.14	1925	6790	615	3240	4825
ENSG00000011052.21	0	0	0	0	0
ENSG00000011083.9	2	4	0	4	6
ENSG00000011105.14	819	2998	648	768	1893
ENSG00000011114.15	1511	2031	754	1435	1145
ENSG00000011132.12	375	410	566	325	548
ENSG00000011143.19	364	568	970	673	646
ENSG00000011198.10	928	1615	917	772	876
ENSG00000011201.12	584	2933	195	812	756
ENSG00000011243.18	618	562	1037	827	1180
ENSG00000011258.16	1223	984	1111	1025	741
ENSG00000011260.14	1044	1429	2897	1584	827
ENSG00000011275.19	1000	2580	1394	2067	1470
ENSG00000011295.16	724	2691	2615	948	1183
ENSG00000011304.22	6915	9402	11421	7901	8163
ENSG00000011332.19	3	17	7	18	32
ENSG00000011347.10	3892	4333	9669	3319	545
ENSG00000011376.12	839	501	564	793	747
ENSG00000011405.13	2512	2051	2983	2089	1348
ENSG00000011422.12	976	2580	1114	2004	3565
ENSG00000011426.11	713	3338	1475	1666	604
ENSG00000011451.21	1527	1998	1252	1427	1868
ENSG00000011454.18	2420	2217	1632	1884	1541
ENSG00000011465.18	7324	23335	2656	12005	6744
ENSG00000011478.13	210	302	791	466	531
ENSG00000011485.15	873	1766	1871	2270	1566
ENSG00000011523.14	748	1530	414	537	656
ENSG00000011566.15	1556	2541	2716	2436	1045
ENSG00000011590.14	22	9	15	50	46
ENSG00000011600.12	1837	2002	340	3379	1012
ENSG00000011638.11	1012	5733	589	2030	1869
ENSG00000011677.13	1	1	622	407	1
ENSG00000012048.23	378	690	1145	382	322
ENSG00000012061.16	571	1439	986	1587	1482
ENSG00000012124.17	111	155	32	192	551
ENSG00000012171.20	198	394	428	248	1115
ENSG00000012174.12	707	1423	873	834	592
ENSG00000012211.13	263	489	1452	414	421
ENSG00000012223.13	3237	2768	185	536	972
ENSG00000012232.9	1344	1673	1643	1897	1168
ENSG00000012504.15	0	2	4	7	15
ENSG00000012660.14	4961	5890	4972	4531	2099
ENSG00000012779.11	1869	1194	1314	1468	2648
ENSG00000012817.16	1568	418	83	1	197
ENSG00000012822.16	2376	2296	2253	3950	3004
ENSG00000012963.15	938	1753	776	969	1279
ENSG00000012983.11	1474	2376	946	1961	1148
ENSG00000013016.16	295	781	75	743	402
ENSG00000013275.8	1474	2756	5725	4282	2812
ENSG00000013288.9	1970	4161	6695	2783	2004
ENSG00000013293.6	1	2	9	32	1
ENSG00000013297.12	86	149	122	542	70
ENSG00000013306.16	3185	6413	14556	6591	5639
ENSG00000013364.19	6356	14697	10052	6431	17662
ENSG00000013374.16	2109	3521	2740	1809	2981
ENSG00000013375.16	1163	1215	3386	1955	632
ENSG00000013392.8	242	322	464	297	164
ENSG00000013441.16	2530	1304	2881	3127	2321
ENSG00000013503.10	334	330	447	414	268
ENSG00000013523.11	1354	1130	1184	2096	719
ENSG00000013561.18	1049	1467	1448	1478	1317
ENSG00000013563.14	236	195	780	285	464
ENSG00000013573.17	971	263	1287	192	1018
ENSG00000013583.10	419	1867	787	583	860
ENSG00000013588.9	6420	38957	19497	7943	9870
ENSG00000013619.14	83	118	69	76	191
ENSG00000013725.14	423	326	225	616	373
ENSG00000013810.20	986	1701	3107	1128	1365
ENSG00000014123.10	1499	1466	2114	1200	837
ENSG00000014138.9	54	209	178	109	233
ENSG00000014164.7	1346	998	1636	707	915
ENSG00000014216.16	4918	20382	7213	7251	12622
ENSG00000014257.16	261	238	432	820	236
ENSG00000014641.21	1943	3688	5332	3702	2758
ENSG00000014824.14	2694	3834	3536	1397	2056
ENSG00000014914.21	788	846	1778	2138	3844
ENSG00000014919.13	568	1118	1581	1259	1180
ENSG00000015133.19	2210	2354	1032	1959	2745
ENSG00000015153.15	448	602	503	465	250
ENSG00000015171.20	2827	3839	1572	1290	2217
ENSG00000015285.11	531	393	82	594	491
ENSG00000015413.9	114	45	2167	295	251
ENSG00000015475.19	430	1494	302	1321	1179
ENSG00000015479.20	96	34	96	58	70
ENSG00000015520.15	64	19	5723	5	790
ENSG00000015532.10	804	1970	2183	1058	1958
ENSG00000015568.13	2	0	2	0	1
ENSG00000015592.16	1	0	3	0	0
ENSG00000015676.18	1806	6292	3366	3089	3291
ENSG00000016082.15	0	16	3	47	110
ENSG00000016391.11	1942	230	586	121	381
ENSG00000016402.13	29	531	107	136	376
ENSG00000016490.16	207	1	2150	0	6
ENSG00000016602.9	0	0	16	2	3
ENSG00000016864.18	1163	1579	3482	1552	1393
ENSG00000017260.20	5268	4078	2997	4029	2909
ENSG00000017427.17	52	176	8	92	38
ENSG00000017483.15	179	562	46	1061	967
ENSG00000017797.13	1838	3755	5052	2155	1449
ENSG00000018189.13	1178	1468	1781	1517	1619
ENSG00000018236.15	48	2590	4437	40	211
ENSG00000018280.17	814	958	887	1317	567
ENSG00000018408.15	2776	3768	1834	11523	2047
ENSG00000018510.17	2087	2490	3007	2261	1657
ENSG00000018607.7	0	0	0	3	1
ENSG00000018610.15	537	643	1251	763	782
ENSG00000018625.15	41	48	30	51	74
ENSG00000018699.13	543	1093	1252	450	625
ENSG00000018869.17	15	76	52	40	24
ENSG00000019102.12	417	1047	643	314	1252
ENSG00000019144.19	1390	2300	573	1511	2572
ENSG00000019169.10	1593	1438	186	1872	151
ENSG00000019186.10	2611	85	44	9906	3638
ENSG00000019485.13	197	283	29	804	251
ENSG00000019505.8	0	5	10	420	1516
ENSG00000019549.13	179	437	33	202	180
ENSG00000019582.15	102035	64284	9160	90402	102274
ENSG00000019991.18	500	470	602	337	353
ENSG00000019995.6	468	490	294	592	290
ENSG00000020129.16	795	1137	1758	1130	1175
ENSG00000020181.18	726	1378	135	615	573
ENSG00000020219.9	0	2	2	1	0
ENSG00000020256.20	924	942	742	1206	687
ENSG00000020426.11	416	448	599	987	387
ENSG00000020577.14	619	2312	287	324	747
ENSG00000020633.19	619	1017	65	436	738
ENSG00000020922.13	865	921	1108	979	789
ENSG00000021300.14	528	505	3189	1876	1287
ENSG00000021355.13	3959	7654	10608	2639	8296
ENSG00000021461.17	0	2	2	3	0
ENSG00000021488.13	43	8	243	15	23
ENSG00000021574.13	811	1939	1185	1093	924
ENSG00000021645.20	330	807	511	467	150
ENSG00000021762.20	4839	1323	577	325	1048
ENSG00000021776.11	1467	2568	2307	1332	1104
ENSG00000021826.17	53	86	139906	31	30
ENSG00000021852.13	28	21	2	5	4
ENSG00000022267.19	737	1393	150	520	480
ENSG00000022277.13	3309	3096	3238	3232	2485
ENSG00000022355.18	0	0	65	10	0
ENSG00000022556.16	122	3057	13	4622	1273
ENSG00000022567.10	1740	1027	1657	1204	866
ENSG00000022840.16	3967	5995	6745	4730	4128
ENSG00000022976.15	249	342	341	125	299
ENSG00000023041.11	831	1958	848	1574	1407
ENSG00000023171.18	145	131	6	511	651
ENSG00000023191.17	4145	6220	7041	4267	5475
ENSG00000023228.14	3130	2714	4229	5877	1840
ENSG00000023287.13	3705	2323	4839	3562	1417
ENSG00000023318.8	2429	2647	6105	3136	1866
ENSG00000023330.15	3254	2119	2065	2453	1496
ENSG00000023445.16	2236	1591	881	1453	1221
ENSG00000023516.9	2172	1886	1637	2973	1282
ENSG00000023572.10	260	981	1568	524	556
ENSG00000023608.5	179	367	291	565	301
ENSG00000023697.13	795	2642	3730	742	681
ENSG00000023734.11	1651	4537	8181	2228	1706
ENSG00000023839.12	14	29	1118	2623	43
ENSG00000023892.11	561	815	192	745	1178
ENSG00000023902.14	1315	1266	390	1837	1195
ENSG00000023909.10	800	1070	1426	5327	454
ENSG00000024048.11	1631	1853	1778	1822	1452
ENSG00000024422.12	1990	11435	2061	1949	6875
ENSG00000024526.17	200	201	702	373	133
ENSG00000024862.18	587	860	957	644	588
ENSG00000025039.15	1426	1390	1357	3016	435
ENSG00000025156.13	505	357	423	453	283
ENSG00000025293.17	3415	2041	1548	1664	1346
ENSG00000025423.11	192	541	506	198	526
ENSG00000025434.19	762	820	1035	1512	867
ENSG00000025708.14	2368	3101	1569	3428	4660
ENSG00000025770.19	645	1507	1644	1410	1385
ENSG00000025772.8	557	1498	2835	1181	1430
ENSG00000025796.14	3099	3580	3999	3438	2193
ENSG00000025800.14	2072	3424	4387	3456	2174
ENSG00000026025.16	7057	20281	1884	8602	10759
ENSG00000026036.22	59	41	28	80	153
ENSG00000026103.22	351	887	72	512	475
ENSG00000026297.16	597	744	664	736	1500
ENSG00000026508.20	6214	12104	7511	7700	7812
ENSG00000026559.14	4	12	2	21	35
ENSG00000026652.15	160	230	62	193	218
ENSG00000026751.17	1397	1225	136	3355	876
ENSG00000026950.17	1352	1130	855	1685	1721
ENSG00000027001.10	316	453	459	721	376
ENSG00000027075.15	939	1680	457	2029	725
ENSG00000027644.5	2	2	0	7	4
ENSG00000027697.15	2807	3369	1917	3119	1938
ENSG00000027847.14	512	792	913	1239	1237
ENSG00000027869.12	144	127	202	242	269
ENSG00000028116.18	376	675	605	592	242
ENSG00000028137.19	1846	2353	1781	2821	1624
ENSG00000028203.18	2678	2591	2654	2058	2693
ENSG00000028277.21	494	348	195	816	422
ENSG00000028310.18	1103	2078	2443	1128	1501
ENSG00000028528.15	3551	3512	2629	4501	2243
ENSG00000028839.10	317	330	502	522	216
ENSG00000029153.14	393	1329	1443	328	364
ENSG00000029363.17	3739	3776	3432	3140	2314
ENSG00000029364.12	3860	4545	4865	9253	2805
ENSG00000029534.21	39	26	1	32	238
ENSG00000029559.7	25	48	141	37	14
ENSG00000029639.11	234	229	939	263	163
ENSG00000029725.17	1048	2215	771	1123	597
ENSG00000029993.15	13206	3466	24757	23554	4033
ENSG00000030066.13	1880	2449	2694	2493	1782
ENSG00000030110.13	406	552	1328	607	1324
ENSG00000030304.14	22	5	133	20	26
ENSG00000030419.16	209	1378	566	743	544
ENSG00000030582.18	16491	22737	25721	28932	13954
ENSG00000031003.10	496	596	257	642	645
ENSG00000031081.11	1448	1290	215	718	890
ENSG00000031691.7	168	224	432	341	82
ENSG00000031698.13	2566	3648	6124	4031	5315
ENSG00000031823.14	1308	2070	2368	1513	1997
ENSG00000032219.19	1099	1210	486	1058	816
ENSG00000032389.13	474	1023	2274	1118	913
ENSG00000032444.17	1745	2365	2460	1665	2480
ENSG00000032742.18	264	340	409	537	360
ENSG00000033011.13	426	654	910	641	573
ENSG00000033030.15	740	844	1224	924	668
ENSG00000033050.9	255	911	855	475	944
ENSG00000033100.16	1996	4043	5427	3941	2748
ENSG00000033122.21	7	11	43	28	168
